epoch,accuracy,loss,val_accuracy,val_loss
0,0.7444812059402466,0.9140884876251221,0.8276082873344421,0.72797691822052
1,0.7493879199028015,0.8493173122406006,0.8276082873344421,0.7163515686988831
2,0.7493879199028015,0.8461213111877441,0.8276082873344421,0.7256055474281311
3,0.7493879199028015,0.8435037732124329,0.8276082873344421,0.7218470573425293
4,0.7493780851364136,0.8275349140167236,0.8276082873344421,0.6394619345664978
5,0.7483204007148743,0.7616869807243347,0.8363329172134399,0.6076648831367493
6,0.7550780773162842,0.7160452604293823,0.845651388168335,0.5509756803512573
7,0.7560868263244629,0.7188907265663147,0.8444637060165405,0.5577476024627686
8,0.762854278087616,0.7001336812973022,0.8578932881355286,0.5194291472434998
9,0.7756645083427429,0.6690173149108887,0.8586698174476624,0.5254514813423157
