epoch,accuracy,loss,val_accuracy,val_loss
0,0.9227045774459839,0.19211165606975555,0.49968770146369934,0.9239034652709961
1,0.9845409393310547,0.049973148852586746,0.5040599703788757,1.2913405895233154
2,0.995315432548523,0.019726458936929703,0.5496564507484436,0.9303461909294128
3,0.9945346713066101,0.017918460071086884,0.8644596934318542,0.43627068400382996
4,0.9948469996452332,0.014697934500873089,0.9356651902198792,0.28175920248031616
5,0.9948469996452332,0.014204452745616436,0.9319175481796265,0.3206581175327301
6,0.993129312992096,0.018591683357954025,0.9481574296951294,0.18429450690746307
7,0.9928169846534729,0.02393818274140358,0.9569019079208374,0.15865980088710785
8,0.9950031042098999,0.013566571287810802,0.9512804746627808,0.16215217113494873
9,0.9979700446128845,0.004884219262748957,0.9662711024284363,0.11481931805610657
