epoch,accuracy,loss,val_accuracy,val_loss
0,0.6380387544631958,0.794952929019928,0.500312328338623,3.8879354000091553
1,0.7624921798706055,0.5549854636192322,0.500312328338623,11.210119247436523
2,0.813241720199585,0.4092300534248352,0.5471580028533936,0.9749299883842468
3,0.8819487690925598,0.3088622987270355,0.9056839346885681,0.23356585204601288
4,0.9033416509628296,0.2475639134645462,0.9381636381149292,0.17238487303256989
5,0.9333229064941406,0.18286831676959991,0.9050593376159668,0.25758758187294006
6,0.9398813247680664,0.16181865334510803,0.686445951461792,0.9956099390983582
7,0.9540911912918091,0.13849060237407684,0.923797607421875,0.18647101521492004
8,0.9634603261947632,0.10792053490877151,0.9350405931472778,0.17355306446552277
9,0.9570580720901489,0.12065959721803665,0.9119300246238708,0.26939064264297485
