timestamp,experiment,arch,noise,test_accuracy
2026-03-15T16:59:32.216696,FC-2x2,"[2, 1]",False,0.7799999713897705
2026-03-15T16:59:42.525969,FC-3x1,"[3, 1]",False,0.9549999833106995
2026-03-15T16:59:49.937516,FC-16-8,"[16, 8, 1]",False,1.0
2026-03-15T16:59:54.314642,FC-16-8-noisy,"[16,8,1]",True,0.9549999833106995
2026-03-15T17:00:47.448611,CNN-MNIST,128,10,0.021406082436442375,0.9927999973297119
2026-03-15T17:09:11.988908,CNN-CatDog,10,0.7645221948623657
2026-03-15T17:20:25.560866,ResNet50-scratch,10,0.5877576470375061
2026-03-15T17:30:18.045798,ResNet50-aug,10,0.652092456817627
2026-03-15T17:41:02.155731,ResNet50-transfer,10,0.9662711024284363
2026-03-15T17:48:03.481438,VGG16-transfer,10,0.9119300246238708
2026-03-15T17:49:49.153498,LSTM-ECG,10,1024,5,0.8586698174476624,0.5254514813423157
2026-03-15T17:52:29.095275,LSTM-NLP-raw,False,0.8323084115982056
2026-03-15T17:54:51.586101,LSTM-NLP-lemmatized,True,0.8435578346252441
2026-03-15T18:37:22.456977,DCGAN-FashionMNIST,100,500,0.9219558829978362,1.2203403509269326
2026-03-15T18:38:10.964994,Autoencoder-SR,10,0.002419047523289919
