epoch,accuracy,loss,val_accuracy,val_loss
0,0.8946166634559631,0.34137076139450073,0.9769999980926514,0.06805722415447235
1,0.9648666381835938,0.11712557077407837,0.9843000173568726,0.04588555917143822
2,0.9737333059310913,0.08829109370708466,0.9866999983787537,0.03757527098059654
3,0.9779833555221558,0.07392969727516174,0.9887999892234802,0.0317058339715004
4,0.9799333214759827,0.0668983906507492,0.9901000261306763,0.025893045589327812
5,0.9817500114440918,0.06099427118897438,0.9915000200271606,0.024709617719054222
6,0.9828500151634216,0.052972957491874695,0.9923999905586243,0.023363810032606125
7,0.9851499795913696,0.04925429821014404,0.9912999868392944,0.02394118718802929
8,0.986133337020874,0.0461614690721035,0.9918000102043152,0.023694084957242012
9,0.9855833053588867,0.04599304497241974,0.9927999973297119,0.02140607126057148
