epoch,accuracy,loss,val_accuracy,val_loss
0,0.5579325556755066,0.7473636269569397,0.49968770146369934,0.8100725412368774
1,0.6027482748031616,0.6887142062187195,0.49968770146369934,1.5808039903640747
2,0.6430355906486511,0.6410664916038513,0.5153029561042786,0.8913394808769226
3,0.6474078893661499,0.6334412097930908,0.6202373504638672,0.6831672191619873
4,0.6772329807281494,0.5906564593315125,0.6527170538902283,0.6196970343589783
5,0.7089319229125977,0.5615243315696716,0.6727045774459839,0.6092814207077026
6,0.7378200888633728,0.5235267281532288,0.6346033811569214,0.6535854339599609
7,0.7479700446128845,0.5070843696594238,0.6458463668823242,0.7761636972427368
8,0.7723298072814941,0.46907398104667664,0.6402248740196228,0.6682131290435791
9,0.790131151676178,0.44495776295661926,0.5877576470375061,1.0281856060028076
