epoch,accuracy,loss,val_accuracy,val_loss
0,0.7041440010070801,0.7948581576347351,0.7147142887115479,0.7518706321716309
1,0.703206479549408,0.7763210535049438,0.7258136868476868,0.6984870433807373
2,0.7342584133148193,0.6509169936180115,0.7546122670173645,0.5949435234069824
3,0.7867241501808167,0.5380622148513794,0.8021599054336548,0.534025251865387
4,0.8354397416114807,0.4372914731502533,0.8197090029716492,0.521068274974823
5,0.8664541244506836,0.3663715720176697,0.8255587220191956,0.5287654399871826
6,0.8893305659294128,0.3140290379524231,0.8305084705352783,0.5163494944572449
7,0.9024189114570618,0.27087053656578064,0.8431078195571899,0.5480623245239258
8,0.9171948432922363,0.23561568558216095,0.8440077900886536,0.6120108962059021
9,0.9262703657150269,0.21186703443527222,0.8435578346252441,0.6059451103210449
