epoch,accuracy,loss,val_accuracy,val_loss
0,0.7002812623977661,0.792324423789978,0.7013649344444275,0.7564802765846252
1,0.7012563347816467,0.7960947155952454,0.7013649344444275,0.7446492910385132
2,0.7045190334320068,0.7321592569351196,0.7013649344444275,0.6908508539199829
3,0.7181698679924011,0.6646553874015808,0.7421628832817078,0.6192597150802612
4,0.7546596527099609,0.5914050936698914,0.7673616409301758,0.6086522340774536
5,0.8014250993728638,0.5175346732139587,0.7882105708122253,0.5856305360794067
6,0.8363772630691528,0.4503282904624939,0.8110094666481018,0.5583740472793579
7,0.8636789917945862,0.39350876212120056,0.8234588503837585,0.5639334917068481
8,0.8814550638198853,0.3489806354045868,0.8285585641860962,0.5731863975524902
9,0.9000937342643738,0.2981843948364258,0.8323084115982056,0.604667603969574
